question,expected_answer
2022年度の売上高はいくらですか？,"11,509,927千円です。"
2023年度の親会社株主に帰属する当期純利益はいくらですか？,"760,451千円です。"
PKSHAの2024年度の国際会計基準での総資産額はいくらですか？,"41,696,338千円です。"
第9期の自己資本比率は何パーセントですか？,78.8%です。
2021年度の営業活動によるキャッシュフローは？,"168,230千円です。"
2021年度と2022年度の自己資本比率を比較するとどうなりますか？,2021年度は78.8%、2022年度は80.6%で、わずかに増加しました。
2023年度と2024年度の売上高の違いは？,"2023年度は13,908,918千円、2024年度は16,893,185千円で、約2,984,267千円増加しました。"
2022年度と2023年度の経常利益を比較してください。,"2022年度の経常利益は1,551,423千円、2023年度は1,824,574千円で増加しました。"
2021年度と2024年度の自己資本利益率の違いは？,2021年度は0.5%、2024年度は3.9%で大幅に改善しました。
2023年度と2024年度の現金及び現金同等物の期末残高を教えてください。,"2023年度は15,512,681千円、2024年度は15,486,161千円で、わずかに減少しました。"
PKSHA Technologyの主な技術分野は何ですか？,主に自然言語処理、音声認識、画像認識、機械学習/深層学習を中心としています。
PKSHAの企業ミッションは何ですか？,『未来のソフトウエアを形にする』ことです。
PKSHA Technologyが提供するアルゴリズムモジュールの例を教えてください。,予測モジュール＜Predictor＞、強化学習モジュール＜Reinforcer＞、推薦モジュール＜Recommender＞などがあります。
PKSHAが開発した対話モジュールは何ですか？,対話モジュール＜Dialogue_2＞です。
PKSHA Technologyの主な事業内容を簡単に説明してください。,アルゴリズムモジュールを用いて社会課題を解決するソフトウェアの開発と提供です。
PKSHAはどのようにして設立されましたか？,2012年10月に東京都新宿区で機械学習技術を用いたデータ解析事業を目的として設立されました。
PKSHAが最初に開発したアルゴリズムモジュールは何ですか？,2013年2月に開発された予測モジュール＜Predictor＞です。
PKSHA Technologyの商号変更はいつ行われましたか？,2014年8月に株式会社AppResearchから株式会社PKSHA Technologyに商号変更しました。
PKSHAはいつ東京証券取引所に上場しましたか？,2017年9月に東京証券取引所マザーズ市場に上場しました。
2024年にPKSHAが上場市場を変更したのはいつですか？,2024年9月に東京証券取引所プライム市場に変更しました。
第11期の最高株価と最低株価はいくらですか？,"最高株価は3,410円、最低株価は1,583円です。"
2024年度の株価収益率はどのくらいですか？,株価収益率は91.3倍です。
2021年度の提出会社の株主総利回りは？,40.96%です。
PKSHAの2022年度の株価収益率は？,68.7倍です。
PKSHAの2023年度の自己資本比率は？,77.8%です。
2020年度の売上高はいくらですか？,"7,393,669千円です。"
2024年度の親会社株主に帰属する当期純利益はいくらですか？,"1,148,652千円です。"
第10期の総資産額はいくらですか？,"35,799,405千円です。"
2021年度の自己資本利益率は何パーセントですか？,0.5%です。
2022年度の営業活動によるキャッシュフローは？,"2,695,397千円です。"
2020年度と2021年度の売上高の違いは？,"2020年度は7,393,669千円、2021年度は8,727,071千円で、約1,333,402千円増加しました。"
2023年度と2024年度の親会社株主に帰属する当期純利益を比較してください。,"2023年度は760,451千円、2024年度は1,148,652千円で増加しました。"
2020年度と2022年度の自己資本比率の違いは？,2020年度は86.0%、2022年度は80.6%で減少しました。
2021年度と2023年度の営業キャッシュフローの比較を教えてください。,"2021年度は168,230千円、2023年度は2,390,898千円で大幅に増加しました。"
2022年度と2024年度の総資産額の違いは？,"2022年度は35,799,405千円、2024年度は38,337,213千円で増加しました。"
PKSHA Technologyが開発した画像解析モジュールの名前は？,画像/映像解析モジュール＜Recognizer＞です。
PKSHAがリリースしたカスタマーサポート領域のソフトウェアは何ですか？,BEDORE（ベドア）です。
PKSHAのCRM領域のアルゴリズムソフトウェアの名前は？,CELLOR（セラー）です。
PKSHAが提供する異常検知モジュールの名前を教えてください。,異常検知モジュール＜Detector＞です。
PKSHAのコーポレートミッションを教えてください。,『未来のソフトウエアを形にする』です。
PKSHAが2014年に開発したモジュールは何ですか？,推薦モジュール＜Recommender＞、異常検知モジュール＜Detector＞、テキスト理解モジュール＜Dialogue_1＞です。
PKSHAの本社が本郷瀬川ビルに移転したのはいつですか？,2016年12月です。
PKSHAが株式会社Sapeetを子会社化したのはいつですか？,2018年7月です。
PKSHA Technologyが最初に上場した市場はどこですか？,東京証券取引所マザーズ市場です。
PKSHAが株式会社トライアンフを子会社化したのはいつですか？,2024年5月です。
第12期の最高株価と最低株価はいくらですか？,"最高株価は6,720円、最低株価は2,345円です。"
2021年度の株価収益率は？,418.8倍です。
PKSHAの2023年度の株価収益率は？,109.6倍です。
2024年度の提出会社の株主総利回りは？,72.33%です。
2022年度の自己資本利益率は？,2.9%です。
2022年度の投資活動によるキャッシュフローはいくらですか？,"-2,323,050千円です。"
2021年度の財務活動によるキャッシュフローは？,"1,975,819千円です。"
2023年度の現金及び現金同等物の期末残高はいくらですか？,"15,512,681千円です。"
2020年度の営業活動によるキャッシュフローは？,"661,313千円です。"
2024年度の財務活動によるキャッシュフローは？,"37,857千円です。"
PKSHAが2021年に子会社化した企業はどこですか？,株式会社アシリレラと株式会社PRAZNAです。
株式会社BEDOREは何のソリューションを提供していますか？,自然言語処理技術を用いたカスタマーサポートソリューションです。
PKSHAが2023年に株式会社アシリレラを改名した新しい社名は何ですか？,株式会社PKSHA Associatesです。
PKSHAの連結子会社の数は2024年時点でいくつですか？,12社です。
PKSHAが株式会社PRAZNAを子会社化したのはいつですか？,2021年6月です。
PKSHAが国際会計基準（IFRS）を導入したのはどの期からですか？,第12期（2023年10月1日～2024年9月30日）からです。
第10期の主要な会計基準の変更点は？,『収益認識に関する会計基準』を適用しました。
